Age,Gender,Height,Weight,BMI,Calories,WorkoutDuration,Steps,SleepHours,WaterIntake,ActivityLevel,FatLoss,WeightLoss
27,Female,158.9,45.0,17.82,1932,0,5976,6.0,5.0,Low,2.67,3.19
35,Female,165.2,62.4,22.85,2972,38,11411,7.6,2.6,Moderate,4.06,4.77
40,Female,171.4,88.2,30.02,2536,67,7691,6.7,2.7,Low,4.57,5.75
41,Male,180.0,55.1,17.0,2745,28,7254,4.5,2.0,Moderate,3.04,3.49
20,Female,166.8,84.7,30.45,2336,84,6670,9.3,1.9,Low,5.54,5.86
44,Male,166.6,53.0,19.09,2159,39,4318,6.8,2.1,Moderate,4.62,5.19
25,Male,178.3,78.3,24.64,2683,39,11117,7.2,3.4,Low,4.52,5.45
53,Male,169.0,107.0,37.47,2429,36,12235,6.3,3.1,High,5.28,5.76
50,Male,166.6,91.9,33.14,2215,72,3757,6.6,3.8,Low,4.77,5.46
62,Female,156.9,45.0,18.28,1592,18,13670,7.2,2.0,Low,5.36,6.14
53,Female,154.5,93.3,39.05,2776,41,5651,5.7,3.1,Moderate,4.52,5.87
35,Female,148.9,110.8,49.98,2520,29,5366,9.0,2.9,Moderate,5.34,6.27
64,Female,152.6,128.3,55.13,1996,29,9654,8.0,3.0,High,6.98,7.27
37,Female,160.2,86.6,33.72,2889,45,9967,7.6,1.8,High,6.63,6.63
33,Male,172.4,53.4,17.99,2421,41,7750,6.8,1.7,Moderate,3.55,4.2
61,Male,168.8,85.8,30.12,2431,74,6788,6.1,3.1,High,5.77,6.13
35,Male,175.3,106.7,34.71,2741,44,12103,8.2,3.4,Low,5.9,6.33
21,Female,159.0,74.6,29.53,2634,60,5818,7.7,2.0,High,6.13,6.38
40,Other,170.5,96.8,33.28,2446,49,7759,6.5,3.1,Moderate,5.22,5.64
56,Male,178.8,62.9,19.67,2205,84,13928,5.7,3.7,Low,5.58,6.0
27,Female,166.9,84.7,30.42,3291,36,3320,5.1,2.3,Moderate,4.04,4.6
40,Female,163.4,45.0,16.85,1933,36,6394,7.0,1.3,Moderate,6.11,6.48
24,Female,152.2,60.9,26.29,2672,65,11587,6.7,1.4,Moderate,5.76,6.1
50,Female,161.4,77.9,29.91,2258,36,9848,8.4,2.0,Low,5.61,6.39
40,Female,153.4,71.5,30.39,2527,58,11129,8.2,2.2,Moderate,7.14,7.74
33,Female,161.2,54.6,21.0,2916,110,3369,7.0,2.6,Moderate,5.37,5.97
28,Female,156.8,69.0,28.07,2144,17,9123,6.9,2.6,Moderate,4.17,4.75
45,Male,171.8,83.9,28.43,2600,87,7001,5.6,2.4,High,5.36,5.65
50,Female,152.6,76.4,32.83,2432,31,15953,8.3,3.2,High,6.01,7.11
63,Male,166.8,79.1,28.43,1979,82,10832,6.9,1.9,Moderate,7.53,8.84
38,Female,166.0,91.2,33.08,2929,64,7921,7.7,3.7,Moderate,6.19,7.22
25,Male,170.5,71.8,24.7,2655,61,9000,8.4,3.4,Moderate,7.02,7.02
57,Male,170.8,102.5,35.11,2082,40,8190,6.3,3.4,High,6.78,7.15
48,Male,174.7,60.2,19.72,2851,37,10446,6.0,2.0,Moderate,3.94,4.79
51,Male,183.9,112.7,33.32,1884,24,5002,10.0,2.5,Moderate,4.8,5.14
22,Male,179.4,98.0,30.46,2285,45,12778,7.7,3.3,Moderate,6.85,7.2
32,Male,161.0,71.6,27.61,2085,39,3363,6.7,2.4,High,5.9,6.02
54,Male,178.9,72.8,22.75,2675,50,8717,8.5,2.0,Moderate,5.68,6.15
57,Male,174.9,81.7,26.72,2060,5,5115,6.6,1.9,Low,3.77,4.09
38,Female,160.1,88.8,34.64,2679,45,8149,7.4,2.0,Moderate,5.39,5.39
56,Female,148.8,97.7,44.15,2597,80,11458,6.3,1.6,Low,5.24,6.24
58,Female,157.9,53.9,21.6,2112,71,2006,7.0,5.2,Low,5.64,6.38
36,Male,168.5,85.9,30.26,3214,45,7406,6.7,0.8,Moderate,4.39,4.52
61,Male,172.5,45.0,15.12,1927,116,2960,6.1,1.7,Moderate,6.34,7.25
31,Female,167.7,74.8,26.61,1595,28,7022,7.3,3.1,High,6.5,7.14
29,Male,168.4,104.2,36.75,2728,42,2951,6.2,2.0,High,4.65,5.66
50,Male,165.8,52.5,19.1,1225,4,8566,7.7,2.3,Moderate,5.09,5.95
48,Female,168.5,49.2,17.34,3045,33,6508,6.6,3.0,Low,3.32,3.64
24,Female,149.7,82.0,36.56,2350,95,10614,4.9,3.5,Low,6.23,7.07
57,Male,160.2,103.0,40.11,1586,34,12299,7.7,2.4,High,7.72,8.57
27,Female,160.4,83.9,32.59,1825,2,8037,7.8,3.4,Moderate,5.76,6.73
56,Male,185.6,45.0,13.06,1482,69,11127,9.7,1.1,Moderate,7.39,8.34
18,Female,159.9,47.7,18.65,2491,55,12838,7.0,2.1,Moderate,6.97,8.3
56,Male,175.4,79.8,25.92,1636,68,4772,7.2,3.0,Low,7.22,8.16
55,Male,157.0,56.8,23.04,2551,36,13022,7.6,4.4,Moderate,5.09,5.42
55,Female,161.0,80.5,31.06,2147,16,7870,8.2,1.7,High,5.53,6.19
49,Male,174.7,81.5,26.7,2062,39,4575,8.1,1.6,Moderate,6.17,6.41
40,Female,163.4,69.2,25.91,2554,60,9044,7.4,2.9,Moderate,6.46,7.49
51,Male,175.4,110.7,35.95,2611,42,7747,7.0,2.6,Low,4.18,4.48
31,Female,151.9,88.6,38.42,2872,55,3075,8.0,2.0,Low,4.43,5.81
55,Female,165.4,99.8,36.46,1983,29,4146,6.9,1.5,Low,4.72,5.22
44,Female,159.7,94.6,37.09,2285,56,13730,5.5,2.1,Moderate,6.75,7.34
40,Female,160.8,75.3,29.11,1982,44,8975,5.2,3.1,Low,6.33,6.77
42,Male,172.2,74.5,25.13,2381,25,13186,6.6,2.3,Moderate,4.46,4.81
45,Female,157.0,72.6,29.48,1910,48,6541,7.1,3.7,Moderate,7.3,7.71
19,Male,172.6,90.3,30.31,2087,34,5194,10.0,2.5,Moderate,4.56,5.24
24,Female,172.1,66.3,22.38,2090,62,2108,6.9,3.1,Low,5.4,6.01
29,Female,167.3,109.1,38.98,2446,69,11387,7.1,2.9,Moderate,6.88,7.33
23,Female,155.1,64.6,26.83,2301,59,9437,6.5,2.2,Moderate,6.16,6.87
39,Female,146.7,81.9,38.04,2553,0,6573,7.7,3.3,Low,3.76,4.17
50,Female,169.6,73.9,25.7,2246,17,5225,7.3,1.5,Moderate,4.81,5.41
49,Male,169.5,69.9,24.33,2010,27,11944,6.2,2.1,Moderate,4.32,5.53
40,Female,156.8,117.1,47.64,2395,22,7379,5.8,2.2,Moderate,4.47,4.87
59,Female,170.2,70.1,24.19,1841,29,7417,6.5,2.9,High,5.11,5.6
45,Male,162.7,72.5,27.38,2584,70,5897,6.0,3.2,High,5.26,5.46
21,Female,159.0,66.0,26.11,2157,64,6573,6.7,1.9,Moderate,6.32,6.8
54,Male,187.9,78.7,22.31,2402,33,9925,7.2,1.7,High,5.25,5.98
45,Male,179.5,76.2,23.65,2410,61,3042,6.4,2.7,High,4.86,5.28
48,Male,163.4,57.9,21.68,3100,54,8282,8.7,1.2,High,5.02,5.22
45,Male,163.7,70.4,26.24,2490,44,11344,8.4,3.5,Moderate,5.64,6.37
44,Female,163.5,89.0,33.29,2336,77,7703,6.7,2.4,High,6.75,7.51
22,Female,170.7,96.5,33.1,1953,26,11689,5.8,1.5,Low,5.14,5.95
44,Female,169.9,78.4,27.16,2701,46,12692,7.0,1.5,High,5.2,5.37
56,Female,162.1,79.1,30.11,2164,15,11162,6.8,2.9,Low,4.57,5.65
32,Male,167.0,71.5,25.63,1537,16,6119,6.9,2.9,Low,4.83,5.26
46,Male,167.5,69.0,24.58,2202,6,7875,6.5,1.9,Low,3.95,4.2
19,Male,172.6,61.4,20.64,2395,17,9210,5.7,2.5,High,4.19,5.15
34,Female,151.1,50.0,21.88,1890,47,6355,7.0,1.6,Moderate,6.7,7.76
38,Male,166.5,65.4,23.57,2240,36,6239,6.6,2.4,Moderate,4.45,4.94
65,Female,164.4,94.3,34.89,2264,37,6028,6.7,3.9,Moderate,5.39,5.7
28,Female,172.3,70.4,23.7,2272,36,16902,7.1,4.5,Moderate,5.31,6.07
31,Female,158.0,71.8,28.76,2917,94,7051,6.9,2.4,High,4.99,5.13
37,Female,157.5,71.4,28.79,1644,13,11740,7.1,3.0,Moderate,6.23,7.72
65,Male,166.8,100.4,36.07,3316,10,4957,6.5,3.0,Moderate,3.34,3.58
58,Female,164.5,61.3,22.66,2283,21,13956,7.4,1.1,High,4.85,5.57
19,Female,160.9,83.0,32.05,2590,42,6675,6.1,1.6,Low,4.57,5.12
29,Female,169.3,76.8,26.77,2363,59,8185,5.7,0.8,Moderate,4.05,4.33
57,Female,156.4,79.2,32.38,1436,62,1585,5.9,3.0,Low,6.2,6.47
20,Female,162.8,82.4,31.07,1771,71,11908,6.2,4.4,Moderate,7.55,8.54
59,Other,173.3,79.0,26.33,2037,41,12666,5.5,3.6,High,6.82,7.55
31,Male,168.7,92.3,32.43,2796,33,3844,5.0,2.6,Low,3.78,4.14
62,Female,167.9,77.5,27.49,1607,90,12111,7.6,2.5,Low,8.29,8.69
32,Female,163.0,109.4,41.15,1872,0,3319,8.5,2.3,Moderate,4.89,5.2
38,Male,179.4,78.8,24.47,2382,46,10212,7.7,3.6,Moderate,6.72,7.63
49,Female,163.4,47.3,17.74,2536,57,6992,6.4,2.8,Moderate,4.65,5.57
24,Male,183.7,89.5,26.52,2521,97,12676,4.9,2.7,Moderate,6.64,7.42
44,Female,157.6,85.1,34.26,1807,0,8872,7.2,1.6,Low,4.4,5.09
42,Male,180.2,78.6,24.2,1501,33,11260,5.1,3.1,Low,5.34,6.15
55,Male,176.4,73.3,23.57,2569,6,12332,6.9,2.5,Moderate,3.38,3.4
65,Female,166.4,45.0,16.24,3016,0,6981,6.0,3.0,Moderate,2.1,2.8
49,Male,166.4,45.0,16.26,2127,39,7898,4.3,3.5,High,5.3,6.27
37,Male,172.8,107.7,36.04,1727,68,4110,8.8,1.1,Moderate,7.95,8.63
37,Male,180.7,67.5,20.65,2085,78,6949,5.5,2.3,Low,5.06,5.68
38,Female,158.0,95.4,38.22,2497,30,14744,6.6,2.2,Low,4.85,5.22
57,Female,168.7,49.1,17.26,2183,63,10645,6.8,2.1,High,7.1,7.5
33,Female,161.1,59.2,22.79,3003,39,4343,6.4,1.6,Moderate,3.63,4.05
26,Male,180.2,90.2,27.77,2762,60,13710,7.6,1.9,High,6.9,7.58
34,Female,140.9,76.2,38.37,2392,77,9361,6.1,1.6,Moderate,6.16,6.59
19,Male,164.4,87.7,32.45,1322,39,10906,7.5,3.3,Low,7.85,7.85
23,Female,164.4,77.8,28.78,1953,75,9716,7.4,2.9,High,8.5,9.38
22,Male,181.5,74.3,22.56,2025,11,9469,5.3,2.9,Moderate,4.58,5.37
55,Male,163.9,65.8,24.47,1926,63,1008,7.3,0.9,Low,5.63,6.36
52,Male,165.4,56.5,20.65,2395,73,11874,5.7,4.4,Moderate,5.52,5.79
51,Female,160.8,103.2,39.91,2405,71,1000,5.6,2.2,Moderate,5.77,6.2
40,Female,152.7,106.2,45.57,1462,11,11555,7.3,4.2,Moderate,6.24,7.03
52,Male,168.6,59.3,20.86,2702,39,8348,6.5,3.3,Moderate,4.2,4.81
25,Female,153.2,58.1,24.78,2308,53,10924,7.4,2.4,Moderate,5.6,5.96
61,Female,149.1,71.7,32.29,2478,57,8554,7.5,4.4,High,7.48,8.53
42,Male,169.3,84.1,29.36,2672,48,11653,5.3,3.1,High,6.39,6.69
63,Female,172.6,74.7,25.1,1916,85,8056,7.9,2.4,Moderate,7.24,7.24
25,Female,160.1,87.0,33.94,2929,8,8983,7.3,2.2,Low,3.93,4.56
41,Male,171.1,77.1,26.33,2229,38,9416,6.3,3.5,Moderate,4.94,5.58
51,Female,158.4,75.9,30.26,3056,0,14575,6.8,2.1,High,3.61,4.23
41,Male,173.8,121.4,40.2,1853,62,10100,7.9,2.3,Low,7.46,8.21
39,Female,168.6,68.5,24.13,3019,60,3391,6.6,2.1,Low,3.4,3.81
25,Male,174.5,107.5,35.33,1848,138,6026,9.5,1.9,High,8.37,9.33
36,Female,158.1,104.0,41.62,3574,73,10093,8.8,2.0,High,5.82,5.94
29,Male,178.6,87.1,27.28,1824,54,12409,7.1,4.2,High,8.5,9.09
32,Female,163.6,45.0,16.81,2828,52,5472,6.7,3.5,Moderate,3.7,4.08
50,Female,156.9,78.6,31.91,2118,36,15839,6.8,2.8,Low,5.8,6.75
48,Male,170.1,68.7,23.75,2657,48,8614,6.3,2.1,Low,4.77,5.09
47,Female,156.4,78.4,32.04,2279,52,9471,7.2,2.1,Moderate,6.73,7.36
35,Other,171.9,58.9,19.93,1754,0,3610,7.8,2.3,High,4.54,5.17
64,Female,156.6,91.6,37.36,1100,50,11904,5.4,4.2,Moderate,8.5,9.17
22,Male,187.7,95.7,27.17,3553,47,6439,7.8,2.9,Moderate,4.12,4.46
34,Female,153.5,99.1,42.04,2336,94,5389,8.1,3.3,High,6.89,7.62
23,Male,167.1,71.1,25.48,1100,41,6889,7.7,2.8,Low,6.81,7.42
34,Male,162.5,58.9,22.32,2451,23,12839,6.8,1.8,Low,2.83,3.55
64,Female,168.7,84.3,29.62,2644,52,9630,7.6,2.7,High,7.23,8.38
35,Female,161.1,109.6,42.25,1942,47,4888,8.6,1.6,Moderate,7.33,7.97
61,Female,167.5,79.2,28.23,1945,41,6143,6.9,3.7,High,5.98,6.23
41,Male,178.3,86.1,27.09,2290,9,12933,7.0,1.9,High,5.68,6.96
51,Female,165.0,73.8,27.08,2901,40,7172,9.6,2.1,High,4.68,5.63
39,Female,151.5,68.9,30.04,2349,28,9961,7.4,3.3,Moderate,5.29,6.12
30,Male,161.2,89.8,34.57,3031,38,10818,5.8,2.0,Moderate,4.32,4.85
54,Female,164.6,76.1,28.07,2865,65,1000,8.0,2.4,Moderate,4.77,5.63
64,Male,165.1,85.3,31.28,2185,26,12425,7.5,0.8,High,6.34,6.34
30,Male,180.3,87.1,26.79,1514,38,5016,6.2,2.3,Low,5.5,6.64
55,Female,158.3,84.3,33.61,2186,60,6737,5.7,3.1,Moderate,7.07,7.98
30,Other,173.1,88.0,29.39,2563,37,13387,7.3,2.0,High,6.23,6.76
52,Male,172.1,62.6,21.16,2329,118,13064,6.9,3.1,Moderate,6.09,6.99
55,Male,176.0,61.5,19.86,2617,51,9724,5.5,2.6,Moderate,5.73,6.54
39,Male,177.7,77.2,24.47,2731,10,10549,6.9,3.6,Low,3.41,3.65
53,Female,174.0,77.7,25.64,2565,21,11422,6.8,1.9,Low,3.57,4.23
31,Male,185.3,68.6,19.99,2162,18,13005,6.9,2.4,Low,3.92,4.65
21,Female,157.4,82.3,33.22,2559,21,13450,7.6,1.3,Moderate,5.53,6.08
22,Other,187.7,94.3,26.78,3417,60,8376,4.9,2.5,Low,3.2,3.72
39,Male,174.7,99.4,32.54,1555,14,5419,5.7,2.2,Moderate,5.63,6.55
61,Female,164.9,103.4,38.01,2543,35,7106,6.4,3.5,Moderate,4.8,5.46
24,Female,165.2,54.3,19.92,3216,76,8445,8.6,2.0,Low,4.36,5.62
39,Female,183.8,57.1,16.89,1712,30,7814,9.8,2.2,Low,4.31,4.68
51,Male,175.4,72.8,23.65,2800,63,4457,7.0,2.0,Moderate,4.66,5.4
27,Male,178.0,79.4,25.07,2867,0,9528,7.1,2.6,Moderate,3.64,3.92
52,Male,173.7,73.7,24.42,1561,34,2512,4.1,4.4,Moderate,5.25,6.09
32,Female,155.2,68.1,28.26,2656,20,8298,8.1,0.8,High,5.14,5.35
56,Female,159.2,72.5,28.6,2164,53,8523,7.5,2.6,High,8.2,8.9
45,Male,173.8,86.7,28.7,2269,16,8403,7.3,3.7,Moderate,5.8,6.82
44,Male,150.4,54.1,23.89,2137,102,10979,5.5,2.1,Moderate,7.16,7.78
26,Female,152.2,120.2,51.85,2956,0,10515,9.4,3.1,Moderate,2.92,3.17
40,Male,171.6,78.4,26.61,2243,76,15779,8.8,3.7,Moderate,7.12,8.05
59,Male,167.4,96.9,34.58,2068,69,6188,7.4,2.4,Low,6.75,7.48
18,Female,160.4,67.6,26.25,2076,53,8977,8.2,2.0,High,7.78,8.36
54,Male,171.3,88.3,30.1,2129,46,8753,7.1,3.4,High,8.32,8.58
41,Male,169.5,79.8,27.78,1760,96,8588,8.0,3.0,Moderate,8.5,8.54
52,Male,168.1,93.4,33.06,2063,114,3573,5.4,2.5,Moderate,6.91,8.29
49,Male,168.5,74.4,26.2,2358,39,3857,4.3,3.2,Moderate,5.48,5.88
38,Female,162.9,105.9,39.9,2502,49,8022,5.5,3.5,Low,4.42,4.68
32,Female,166.7,51.1,18.41,2902,29,2484,6.0,2.6,Low,2.37,3.08
48,Female,167.3,95.1,33.98,2420,12,6830,6.2,2.9,Low,4.35,4.59
24,Male,183.0,80.1,23.93,2062,57,5733,7.5,3.1,High,6.87,7.65
46,Female,160.5,59.7,23.18,1794,51,6957,6.7,2.2,Moderate,6.1,7.17
22,Male,174.8,113.1,37.01,2447,0,11963,7.0,3.7,Moderate,4.04,4.27
49,Female,158.7,111.3,44.21,2241,57,4225,5.6,1.7,Low,4.29,4.79
48,Male,168.7,45.0,15.81,2257,52,11044,5.5,2.5,High,6.39,7.15
22,Female,164.9,81.2,29.86,2431,28,6000,7.0,3.3,High,5.64,5.82
54,Male,180.8,90.7,27.74,2559,26,6436,6.3,1.6,High,5.25,5.53
37,Male,182.7,86.0,25.74,2434,56,9629,7.0,3.4,Moderate,6.37,6.93
55,Female,159.5,105.3,41.37,2214,90,7040,7.7,2.8,Moderate,7.21,8.5
19,Male,164.4,101.5,37.55,1899,56,4876,9.0,3.8,Moderate,7.21,7.51
26,Male,171.6,82.8,28.1,1993,66,6704,7.0,3.2,Low,5.77,6.27
41,Female,157.4,119.0,48.0,2724,21,1781,9.2,2.5,Moderate,4.02,5.48
27,Female,163.9,94.9,35.33,2088,33,9334,7.5,2.8,Moderate,5.99,6.86
33,Male,176.0,71.7,23.13,1626,62,1000,7.8,2.8,Moderate,7.21,7.21
49,Female,165.9,68.1,24.73,2879,6,11108,8.3,4.4,Moderate,4.26,4.77
24,Female,143.8,100.4,48.54,1828,50,10153,7.9,2.7,Low,7.95,8.75
50,Female,166.5,63.7,22.99,2317,58,13605,6.0,2.5,Moderate,5.82,6.92
22,Female,158.1,70.6,28.26,2545,43,15637,8.3,2.4,Moderate,5.73,6.81
26,Female,165.2,73.7,27.01,2301,53,11275,6.6,2.8,Moderate,6.26,7.06
46,Female,161.9,84.4,32.2,1100,46,5804,7.4,1.6,High,8.11,8.96
56,Female,160.7,74.5,28.87,2495,27,15604,7.2,2.3,Low,5.42,5.56
26,Female,161.3,54.3,20.87,2963,12,3821,8.4,1.7,Moderate,3.47,3.83
32,Male,171.8,98.9,33.5,2693,42,1340,7.5,1.8,Moderate,5.43,5.58
62,Male,178.4,70.7,22.22,1238,81,14483,5.3,3.3,Moderate,7.7,8.66
65,Male,181.0,114.4,34.9,3363,73,10105,9.5,2.6,High,6.11,6.84
45,Female,169.6,83.5,29.02,1637,35,1434,8.0,1.9,Moderate,7.02,7.66
39,Male,183.2,100.8,30.04,1760,34,3256,6.3,2.5,High,5.9,7.04
34,Female,166.7,89.4,32.17,2690,32,9929,5.6,2.4,Low,4.52,5.3
47,Female,149.5,101.7,45.49,2526,32,4955,8.1,2.6,High,5.62,6.62
46,Other,177.7,88.3,27.96,2340,53,5458,5.8,1.2,High,5.46,6.32
32,Male,192.9,82.2,22.1,2015,74,14882,8.0,1.6,Low,6.69,7.59
19,Female,167.0,97.7,35.02,2965,108,15518,8.3,1.3,Moderate,7.04,7.27
25,Female,155.2,122.7,50.97,2280,21,8513,6.2,1.8,Moderate,4.55,5.49
64,Male,180.1,73.1,22.54,1517,63,7473,6.1,1.9,High,6.79,7.56
38,Female,175.8,92.3,29.86,2916,60,11158,6.4,1.7,Low,5.53,5.99
41,Male,171.4,77.9,26.51,2409,35,6034,5.8,3.3,Moderate,5.22,6.06
40,Female,170.0,87.1,30.13,2857,16,1000,7.3,4.3,Moderate,4.03,5.08
55,Female,162.8,78.8,29.71,2586,52,1000,7.4,3.3,Low,5.23,5.8
21,Male,165.3,45.0,16.47,3495,104,7742,7.9,2.1,High,5.45,5.79
21,Male,172.7,74.4,24.95,2145,52,11086,6.0,2.8,Moderate,6.89,7.25
31,Male,156.9,96.0,39.01,2308,22,8055,8.0,2.5,Moderate,6.0,6.11
41,Male,172.6,64.2,21.57,2659,40,10834,5.8,2.1,High,4.37,4.91
50,Female,154.4,94.6,39.66,2148,13,11184,8.0,3.8,High,5.91,6.71
41,Male,172.3,81.3,27.4,2701,45,12851,5.2,4.4,High,5.96,7.17
39,Male,197.4,74.6,19.13,1100,64,8651,8.9,1.3,Low,7.34,7.66
63,Female,163.8,94.3,35.16,2263,25,8965,6.4,3.9,High,5.5,6.23
25,Female,151.6,90.3,39.26,2248,0,7871,7.7,2.1,Low,3.79,4.4
45,Female,168.0,85.6,30.33,2230,52,7095,7.8,2.4,Moderate,5.84,6.44
44,Female,162.0,96.3,36.71,1861,30,2497,5.5,2.9,High,5.74,5.81
40,Male,171.3,81.7,27.83,2753,23,12101,8.0,4.0,Low,4.26,4.51
56,Female,167.2,48.4,17.31,2047,23,6656,6.3,2.9,Low,4.08,5.32
30,Male,176.2,71.2,22.93,2400,56,6456,6.6,3.0,High,5.52,6.47
63,Female,153.8,45.5,19.23,2281,33,6104,6.2,3.4,Low,4.16,4.86
33,Other,165.7,89.8,32.7,2550,71,3308,8.9,3.5,Low,5.76,6.53
44,Female,161.9,94.1,35.92,3015,71,7700,5.6,3.1,Low,4.57,5.43
42,Female,161.4,95.0,36.44,2397,37,9807,7.5,3.5,Moderate,6.44,6.88
58,Female,159.2,86.8,34.26,2720,30,5531,6.3,2.1,Moderate,4.51,4.97
39,Male,167.6,95.4,33.95,2372,48,11631,8.3,1.0,Moderate,6.71,7.1
31,Female,158.3,49.6,19.8,2046,40,6710,9.8,4.2,High,5.99,6.65
19,Female,151.2,76.1,33.28,2229,0,2635,6.2,1.7,Moderate,3.64,3.84
35,Other,173.4,52.5,17.47,2158,98,12807,7.2,2.1,Moderate,7.68,8.05
57,Female,171.3,71.6,24.39,2584,65,8694,6.5,2.3,Moderate,5.3,6.08
18,Male,168.4,107.1,37.75,2353,32,11021,8.2,2.1,High,5.82,6.29
61,Female,160.2,97.7,38.05,1902,0,11104,6.7,1.9,Low,4.12,4.12
44,Male,171.2,89.9,30.69,2189,39,4688,8.1,3.0,High,7.27,7.74
24,Male,178.7,74.7,23.4,1537,28,6173,6.5,3.0,Low,5.31,6.1
32,Male,167.7,60.1,21.36,2207,43,11620,9.7,3.2,High,5.04,5.68
44,Female,160.8,81.4,31.45,2300,0,14423,4.4,3.1,High,4.2,4.21
33,Male,160.5,98.0,38.05,3204,31,8221,7.5,2.2,Low,3.86,4.83
23,Male,187.7,85.4,24.23,2974,33,5804,7.0,2.2,Low,3.55,4.06
